word	gold	predict
Atomic	_	_
Energy	_	_
Agency	_	_
)	_	_
published	_	_
an	_	_
early	_	_
report	_	_
on	_	_
Chernobyl	_	_
which	_	_
was	_	_
based	_	_
on	_	_
information	_	_
from	_	_
Russian	_	_
sources	_	_
and	_	_
stated	_	_
that	_	_
there	_	_
was	_	_
no	_	_
significant	_	_
health	_	_
effects	_	_
.	_	_
The	_	_
prestigious	_	_
IAEA	_	_
(	_	_
International	_	_
Atomic	_	_
Energy	_	_
Agency	_	_
)	_	_
published	_	_
an	_	_
early	_	_
report	ARG1	_
on	_	_
Chernobyl	_	_
which	R-ARG1	_
was	_	_
based	_	_
on	_	_
information	ARG2	_
from	_	_
Russian	_	_
sources	_	_
and	_	_
stated	_	_
that	_	_
there	_	_
was	_	_
no	_	_
significant	_	_
health	_	_
effects	_	_
.	_	_
The	_	_
prestigious	_	_
IAEA	ARG0	_
(	_	_
International	_	_
Atomic	_	_
Energy	_	_
Agency	_	_
)	_	_
published	_	_
an	_	_
early	_	_
report	_	_
on	_	_
Chernobyl	_	_
which	_	_
was	_	_
based	_	_
on	_	_
information	_	_
from	_	_
Russian	_	_
sources	_	_
and	_	_
stated	_	_
that	_	_
there	_	_
was	ARG1	_
no	_	_
significant	_	_
health	_	_
effects	_	_
.	_	_
The	_	_
prestigious	_	_
IAEA	_	_
(	_	_
International	_	_
Atomic	_	_
Energy	_	_
Agency	_	_
)	_	_
published	_	_
an	_	_
early	_	_
report	_	_
on	_	_
Chernobyl	_	_
which	_	_
was	_	_
based	_	_
on	_	_
information	_	_
from	_	_
Russian	_	_
sources	_	_
and	_	_
stated	_	_
that	_	_
there	_	_
was	_	_
no	_	_
significant	_	_
health	_	_
effects	ARG1	_
.	_	_
The	_	_
prestigious	_	_
IAEA	_	_
(	_	_
International	_	_
Atomic	_	_
Energy	_	_
Agency	_	_
)	_	_
published	_	_
an	_	_
early	_	_
report	_	_
on	_	_
Chernobyl	_	_
which	_	_
was	_	_
based	_	_
on	_	_
information	_	_
from	_	_
Russian	_	_
sources	_	_
and	_	_
stated	_	_
that	_	_
there	_	_
was	_	_
no	ARGM-NEG	_
significant	ARGM-EXT	_
health	ARG1	_
effects	_	_
.	_	_
However	ARGM-DIS	_
,	_	_
in	_	_
April	ARGM-TMP	_
2001	_	_
,	_	_
the	_	_
IAEA	ARG0	_
published	_	_
Fifteen	_	_
Years	_	_
after	_	_
the	_	_
Chernobyl	_	_
Accident	_	_
-	_	_
Lessons	ARG1	_
learned	_	_
.	_	_
which	_	_
contradict	_	_
the	_	_
earlier	_	_
reports	_	_
.	_	_
However	_	_
,	_	_
in	_	_
April	_	_
2001	_	_
,	_	_
the	_	_
IAEA	_	_
published	_	_
Fifteen	_	_
Years	_	_
after	_	_
the	_	_
Chernobyl	_	_
Accident	_	_
-	_	_
Lessons	ARG1	_
learned	_	_
.	_	_
which	_	_
contradict	_	_
the	_	_
earlier	_	_
reports	_	_
.	_	_
However	_	_
,	_	_
in	_	_
April	_	_
2001	_	_
,	_	_
the	_	_
IAEA	_	_
published	_	_
Fifteen	_	_
Years	_	_
after	_	_
the	_	_
Chernobyl	_	_
Accident	_	_
-	_	_
Lessons	_	_
learned	_	_
.	_	_
which	ARG0	_
contradict	_	_
the	_	_
earlier	_	_
reports	ARG1	_
.	_	_
However	_	_
,	_	_
in	_	_
April	_	_
2001	_	_
,	_	_
the	_	_
IAEA	_	_
published	_	_
Fifteen	_	_
Years	_	_
after	_	_
the	_	_
Chernobyl	_	_
Accident	_	_
-	_	_
Lessons	_	_
learned	_	_
.	_	_
which	_	_
contradict	_	_
the	_	_
earlier	ARGM-TMP	_
reports	_	_
.	_	_
Here	ARG2	_
are	_	_
some	_	_
excerpts	ARG1	_
:	_	_
The	_	_
dramatic	ARG2	_
increase	_	_
in	_	_
radiation	_	_
-	_	_
induced	_	_
thyroid	_	_
cancers	ARG1	_
in	_	_
children	ARGM-GOL	_
and	_	_
adolescents	_	_
in	_	_
Belarus	ARGM-LOC	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
,	_	_
which	_	_
have	_	_
been	_	_
observed	ARGM-ADJ	_
since	_	_
1991	_	_
,	_	_
continues	_	_
to	_	_
this	_	_
day	_	_
.	_	_
The	_	_
dramatic	_	_
increase	_	_
in	_	_
radiation	_	_
-	_	_
induced	_	_
thyroid	_	_
cancers	_	_
in	_	_
children	_	_
and	_	_
adolescents	_	_
in	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
,	_	_
which	_	_
have	_	_
been	_	_
observed	_	_
since	_	_
1991	_	_
,	_	_
continues	_	_
to	_	_
this	_	_
day	_	_
.	_	_
The	_	_
dramatic	_	_
increase	_	_
in	_	_
radiation	_	_
-	_	_
induced	_	_
thyroid	_	_
cancers	_	_
in	_	_
children	_	_
and	_	_
adolescents	_	_
in	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
,	_	_
which	_	_
have	_	_
been	_	_
observed	_	_
since	_	_
1991	_	_
,	_	_
continues	_	_
to	_	_
this	_	_
day	_	_
.	_	_
The	_	_
dramatic	_	_
increase	ARG1	_
in	_	_
radiation	_	_
-	_	_
induced	_	_
thyroid	_	_
cancers	_	_
in	_	_
children	_	_
and	_	_
adolescents	_	_
in	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
,	_	_
which	R-ARG1	_
have	_	_
been	_	_
observed	_	_
since	_	_
1991	ARGM-TMP	_
,	_	_
continues	_	_
to	_	_
this	_	_
day	_	_
.	_	_
The	_	_
dramatic	_	_
increase	ARG1	_
in	_	_
radiation	_	_
-	_	_
induced	_	_
thyroid	_	_
cancers	_	_
in	_	_
children	_	_
and	_	_
adolescents	_	_
in	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
,	_	_
which	_	_
have	_	_
been	_	_
observed	_	_
since	_	_
1991	_	_
,	_	_
continues	_	_
to	_	_
this	_	_
day	ARGM-TMP	_
.	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	ARG1	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	_	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	_	_
during	_	_
pregnancy	_	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	_	_
....	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	_	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	ARG1	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	_	_
during	_	_
pregnancy	_	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	_	_
....	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	_	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	_	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	ARG1	_
during	_	_
pregnancy	_	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	_	_
....	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	_	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	_	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	_	_
during	_	_
pregnancy	ARGM-TMP	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	_	_
....	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	_	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	_	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	_	_
during	_	_
pregnancy	_	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	_	_
....	_	_
...	_	_
a	_	_
drop	_	_
in	_	_
the	_	_
birth	_	_
rate	_	_
,	_	_
a	_	_
deterioration	_	_
in	_	_
women	_	_
's	_	_
reproductive	_	_
health	_	_
,	_	_
an	_	_
increase	_	_
in	_	_
complications	_	_
during	_	_
pregnancy	_	_
and	_	_
birth	_	_
,	_	_
and	_	_
a	_	_
deterioration	_	_
in	_	_
neonatal	_	_
health	ARG1	_
....	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	ARG1	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	ARG1	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	ARG0	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	ARG1	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	ARG0	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	ARG1	_
is	_	_
going	_	_
up	ARGM-DIR	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	ARG1	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	_
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	_
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	_
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	_	_
is	_	_
increasing	_	_
.	_	_
The	_	_
dynamics	_	_
of	_	_
change	_	_
in	_	_
the	_	_
state	_	_
of	_	_
health	_	_
of	_	_
children	_	_
affected	_	_
by	_	_
the	_	_
Chernobyl	_	_
accident	_	_
in	_	_
all	_	_
three	_	_
countries	_	ARG2
-	_	_
Belarus	_	_
,	_	_
Russia	_	_
,	_	_
and	_	_
Ukraine	_	_
-	_	ARG2
in	_	_
the	_	_
post-accident	_	_
period	_	_
is	_	_
characterized	_	_
by	_	_
persistent	_	ARG2
negative	_	_
tendencies	_	_
:	_	_
the	_	_
morbidity	_	_
rate	_	_
is	_	_
going	_	_
up	_	_
,	_	_
the	_	_
number	_	_
of	_	_
really	_	_
healthy	_	_
children	_	_
is	_	_
dropping	_	_
,	_	_
and	_	_
disability	ARG1	_
is	_	_
increasing	_	_
.	_	_
As	_	_
a	_	_
parent	ARGM-PRD	_
,	_	_
I	ARG0	_
can	ARGM-MOD	_
well	ARGM-ADV	_
imagine	_	_
how	_	_
painful	ARG1	_
it	_	_
must	_	_
be	_	_
for	_	_
those	_	_
families	_	_
whose	_	_
children	_	_
are	_	_
succumbing	_	_
to	_	_
radiation	_	_
poisoning	_	_
.	_	_
As	_	_
a	_	_
parent	_	_
,	_	_
I	_	_
can	_	_
well	_	_
imagine	_	_
how	_	_
painful	ARG2	_
it	_	_
must	ARGM-MOD	_
be	_	_
for	_	_
those	_	_
families	ARG1	_
whose	_	_
children	_	_
are	_	_
succumbing	_	_
to	_	_
radiation	_	_
poisoning	_	_
.	_	_
As	_	_
a	_	_
parent	_	_
,	_	_
I	_	_
can	_	_
well	_	_
imagine	_	_
how	_	_
painful	_	_
it	_	_
must	_	_
be	_	_
for	_	_
those	_	_
families	_	_
whose	_	_
children	_	_
are	_	_
succumbing	_	_
to	_	_
radiation	_	_
poisoning	_	_
.	_	_
As	_	_
a	_	_
parent	_	_
,	_	_
I	_	_
can	_	_
well	_	_
imagine	_	_
how	_	_
painful	_	_
it	_	_
must	_	_
be	_	_
for	_	_
those	_	_
families	ARG0	_
whose	_	_
children	R-ARG0	_
are	_	_
succumbing	_	_
to	_	_
radiation	_	_
poisoning	ARG1	_
.	_	_
As	_	_
a	_	_
parent	_	_
,	_	_
I	_	_
can	_	_
well	_	_
imagine	_	_
how	_	_
painful	_	_
it	_	_
must	_	_
be	_	_
for	_	_
those	_	_
families	_	_
whose	_	_
children	_	_
are	_	_
succumbing	_	_
to	_	_
radiation	ARG2	_
poisoning	_	_
.	_	_
There	_	_
is	_	_
a	_	_
lot	ARG1	_
to	_	_
learn	_	_
about	_	_
Chernobyl	_	_
.	_	_
There	_	_
is	_	_
a	_	_
lot	ARGM-EXT	_
to	_	_
learn	_	_
about	_	_
Chernobyl	ARG1	_
.	_	_
Being	_	_
well	_	_
-	_	_
informed	ARG2	_
will	_	_
give	_	_
you	_	_
certainty	_	_
and	_	_
that	_	_
is	_	_
desirable	_	_
in	_	_
a	_	_
world	_	_
of	_	_
conflicting	_	_
reports	_	_
.	_	_
Being	_	_
well	_	_
-	_	_
informed	ARG0	_
will	ARGM-MOD	_
give	_	_
you	ARG2	_
certainty	ARG1	_
and	_	_
that	_	_
is	_	_
desirable	_	_
in	_	_
a	_	_
world	_	_
of	_	_
conflicting	_	_
reports	_	_
.	_	_
Being	_	_
well	_	_
-	_	_
informed	_	_
will	_	_
give	_	_
you	_	_
certainty	_	_
and	_	_
that	ARG1	_
is	_	_
desirable	ARG2	_
in	_	_
a	_	_
world	ARGM-LOC	_
of	_	_
conflicting	_	_
reports	_	_
.	_	_
Being	_	_
well	_	_
-	_	_
informed	_	_
will	_	_
give	_	_
you	_	_
certainty	_	_
and	_	_
that	ARG1	_
is	_	_
desirable	_	_
in	_	_
a	_	_
world	ARGM-LOC	_
of	_	_
conflicting	_	_
reports	_	_
.	_	_
Being	_	_
well	_	_
-	_	_
informed	_	_
will	_	_
give	_	_
you	_	_
certainty	_	_
and	_	_
that	_	_
is	_	_
desirable	_	_
in	_	_
a	_	_
world	_	_
of	_	_
conflicting	ARGM-PRD	_
reports	_	_
.	_	_
There	_	_
are	_	_
a	_	_
wealth	ARG1	_
of	_	_
references	_	_
on	_	_
Chernobyl	_	_
.	_	_
There	_	_
are	_	_
a	_	_
wealth	_	_
of	_	_
references	_	_
on	_	_
Chernobyl	ARG1	_
.	_	_
Read	_	_
some	ARG1	_
of	_	_
the	_	_
following	_	_
links	_	_
and	_	_
draw	_	_
your	_	_
own	_	_
conclusions	_	_
.	_	_
Read	_	_
some	_	_
of	_	_
the	_	_
following	_	_
links	_	_
and	_	_
draw	_	_
your	_	_
own	_	_
conclusions	ARG1	_
.	_	_
Read	_	_
some	_	_
of	_	_
the	_	_
following	_	_
links	_	_
and	_	_
draw	_	_
your	ARG0	_
own	ARGM-REC	_
conclusions	_	_
.	_	_
These	_	_
links	ARG0	_
present	_	_
the	_	_
many	_	_
viewpoints	ARG1	_
that	_	_
existed	_	_
and	_	_
still	_	_
exist	_	_
about	_	_
the	_	_
disaster	_	_
called	_	_
Chernobyl	_	_
:	_	_
These	_	_
links	_	_
present	_	_
the	_	_
many	_	_
viewpoints	ARG1	_
that	R-ARG1	_
existed	_	_
and	_	_
still	_	_
exist	_	_
about	_	_
the	_	_
disaster	_	_
called	_	_
Chernobyl	_	_
:	_	_
These	_	_
links	_	_
present	_	_
the	_	_
many	_	_
viewpoints	ARG1	_
that	R-ARG1	_
existed	_	_
and	_	_
still	ARGM-TMP	_
exist	_	_
about	_	_
the	_	_
disaster	_	_
called	_	_
Chernobyl	_	_
:	_	_
These	_	_
links	_	_
present	_	_
the	_	_
many	_	_
viewpoints	_	_
that	_	_
existed	_	_
and	_	_
still	_	_
exist	_	_
about	_	_
the	_	_
disaster	ARG1	_
called	_	_
Chernobyl	ARG2	_
:	_	_
IAEA	ARG0	_
Report	_	_
Lessons	_	_
learned	_	_
IAEA	_	_
Report	_	_
Lessons	ARG1	_
learned	_	_
http://www.ibiblio.org/expo/soviet.exhibit/chernobyl.html	_	_
http://www.ibrae.ac.ru/IBRAE/eng/chernobyl/nat_rep/nat_repe.htm#24	_	_
http://www.nsrl.ttu.edu/chernobyl/wildlifepreserve.htm	_	_
http://www.environmentalchemistry.com/yogi/hazmat/articles/chernobyl1.html	_	_
http://digon_va.tripod.com/Chernobyl.htm	_	_
http://www.oneworld.org/index_oc/issue196/byckau.html	_	_
http://www.collectinghistory.net/chernobyl/	_	_
http://www.ukrainianweb.com/chernobyl_ukraine.htm	_	_
http://www.bullatomsci.org/issues/1993/s93/s93Marples.html	_	_
http://www.calguard.ca.gov/ia/Chernobyl-15%20years.htm	_	_
http://www.infoukes.com/history/chornobyl/gregorovich/index.html	_	_
http://www.un.org/ha/chernobyl/	_	_
http://www.tecsoc.org/pubs/history/2002/apr26.htm	_	_
http://www.chernobyl.org.uk/page2.htm	_	_
http://www.time.com/time/daily/chernobyl/860901.accident.html	_	_
http://www.infoukes.com/history/chornobyl/elg/	_	_
http://www.world-nuclear.org/info/chernobyl/inf07.htm	_	_
http://www.nea.fr/html/rp/chernobyl/conclusions5.html	_	_
http://www.nea.fr/html/rp/chernobyl/c01.html	_	_
http://www.nea.fr/html/rp/chernobyl/c05.html	_	_
http://www.physics.isu.edu/radinf/chern.htm	_	_
http://www.chernobyl.info/en	_	_
http://www.arps.org.au/Chernobyl.htm	_	_
http://www-formal.stanford.edu/jmc/progress/chernobyl.html	_	_
http://www.21stcenturysciencetech.com/articles/chernobyl.html	_	_
I	ARG1	_
would	ARGM-MOD	_
be	_	_
interested	ARG2	_
in	_	_
hearing	_	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	ARG1	_
would	ARGM-MOD	_
be	_	_
interested	_	_
in	_	_
hearing	ARG2	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	ARG0	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	ARG1	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	_	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	_	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	ARG1	_
you	ARG0	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	_	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	ARG1	_
you	ARG0	_
found	_	_
that	_	_
was	_	_
most	_	_
convincing	_	_
.	_	_
I	_	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	ARG1	_
was	_	_
most	_	_
convincing	ARG2	_
.	_	_
I	_	_
would	_	_
be	_	_
interested	_	_
in	_	_
hearing	_	_
what	_	_
conclusions	_	_
you	_	_
reached	_	_
and	_	_
what	_	_
you	_	_
found	_	_
that	ARG0	_
was	_	_
most	ARGM-EXT	_
convincing	_	_
.	_	_
radiation	_	_
:	_	_
As	_	_
a	_	_
child	ARGM-PRD	_
in	_	_
the	_	_
50's	_	_
I	ARG0	_
had	_	_
a	_	_
lot	ARG1	_
of	_	_
glandular	_	_
problems	_	_
and	_	_
they	_	_
treated	_	_
it	_	_
with	_	_
radiation	_	_
therapy	_	_
(	_	_
primitive	_	_
at	_	_
best	_	_
!	_	_
)	_	_
and	_	_
stopped	_	_
when	_	_
a	_	_
lesion	_	_
on	_	_
my	_	_
neck	_	_
started	_	_
enlarging	_	_
--	_	_
they	_	_
said	_	_
it	_	_
was	_	_
not	_	_
CA	_	_
but	_	_
stopped	_	_
the	_	_
treatments	_	_
....	_	_
As	_	_
a	_	_
child	_	_
in	_	_
the	_	_
50's	_	_
I	_	_
had	_	_
a	_	_
lot	_	_
of	_	_
glandular	_	_
problems	_	_
and	_	_
they	ARG0	_
treated	_	_
it	ARG2	_
with	_	_
radiation	_	_
therapy	ARG3	_
(	_	_
primitive	_	_
at	_	_
best	_	_
!	_	_
)	_	_
and	_	_
stopped	_	_
when	_	_
a	_	_
lesion	_	_
on	_	_
my	_	_
neck	_	_
started	_	_
enlarging	_	_
--	_	_
they	_	_
said	_	_
it	_	_
was	_	_
not	_	_
CA	_	_
but	_	_
stopped	_	_
the	_	_
treatments	_	_
....	_	_
As	_	_
a	_	_
child	_	_
in	_	_
the	_	_
50's	_	_
I	_	_
had	_	_
a	_	_
lot	_	_
of	_	_
glandular	_	_
problems	_	_
and	_	_
they	ARG0	_
treated	_	_
it	_	_
with	_	_
radiation	_	_
therapy	_	_
(	_	_
primitive	_	_
at	_	_
best	_	_
!	_	_
)	_	_
and	_	_
stopped	_	_
when	_	_
a	_	_
lesion	_	_
on	_	_
my	_	_
neck	_	_
started	ARGM-TMP	_
enlarging	_	_
--	_	_
they	_	_
said	_	_
it	_	_
was	_	_
not	_	_
CA	_	_
but	_	_
stopped	_	_
the	_	_
treatments	_	_
....	_	_
As	_	_
a	_	_
child	_	_
in	_	_
the	_	_
50's	_	_
I	_	_
had	_	_
a	_	_
lot	_	_
of	_	_
glandular	_	_
problems	_	_
and	_	_
they	_	_
treated	_	_
it	_	_
with	_	_
radiation	_	_
therapy	_	_
(	_	_
primitive	_	_
at	_	_
best	_	_
!	_	_
)	_	_
and	_	_
